"Date","Location","City","Region","Title","Amount","Department","Views","Trans_details"
"November 01, 2015","Abohar                       , Punjab","Abohar","Punjab","I Paid Rs. 524001 to Commercial Tax, Sales Tax, VAT in Abohar.",524001,"Commercial Tax, Sales Tax, VAT",167,"C Form"
"November 01, 2015","New Delhi                       , Delhi","New Delhi","Delhi","I Paid Rs. 200 to Police in New Delhi.",200,"Police",170,"Traffic Violations"
"November 01, 2015","Mansa                       , Punjab","Mansa","Punjab","I Paid Rs. 1000 to Municipal Services in Mansa.",1000,"Municipal Services",142,"Birth Certificate"
"November 01, 2015","Rae Bareli                       , Uttar Pradesh","Rae Bareli","Uttar Pradesh","I Paid Rs. 108 to Income Tax in Rae Bareli.",108,"Income Tax",138,"New PAN Card"
"November 01, 2015","Dehradun                       , Uttarakhand","Dehradun","Uttarakhand","I Paid Rs. 100 to Municipal Services in Dehradun.",100,"Municipal Services",119,"Birth Certificate"
"November 01, 2015","Bhopal                       , Madhya Pradesh","Bhopal","Madhya Pradesh","I Paid Rs. 105 to Income Tax in Bhopal.",105,"Income Tax",107,"New PAN Card"
"November 01, 2015","Bahraich                       , Uttar Pradesh","Bahraich","Uttar Pradesh","I Paid Rs. 100 to Others in Bahraich.",100,"Others",108,"Others"
"November 01, 2015","Kollam                       , Kerala","Kollam","Kerala","I Paid Rs. 1000 to Passport in Kollam.",1000,"Passport",129,"Police Verification for Passport"
"November 01, 2015","Tikamgarh                       , Madhya Pradesh","Tikamgarh","Madhya Pradesh","I Paid Rs. 8120303241 to Municipal Services in Tikamgarh.",8120303241,"Municipal Services",106,"Birth Certificate"
"November 01, 2015","Abohar                       , Punjab","Abohar","Punjab","I Paid Rs. 12345 to Commercial Tax, Sales Tax, VAT in Abohar.",12345,"Commercial Tax, Sales Tax, VAT",107,"C Form"
"November 01, 2015","Imphal                       , Manipur","Imphal","Manipur","I Paid Rs. 50 to Municipal Services in Imphal.",50,"Municipal Services",91,"Birth Certificate"
"November 01, 2015","Adari                       , Uttar Pradesh","Adari","Uttar Pradesh","I Paid Rs. 100 to Municipal Services in Adari.",100,"Municipal Services",77,"Birth Certificate"
"November 01, 2015","Kolar                       , Karnataka","Kolar","Karnataka","I Paid Rs. 10000 to Police in Kolar.",10000,"Police",101,"Filing FIR"
"November 01, 2015","Achhnera                       , Uttar Pradesh","Achhnera","Uttar Pradesh","I Paid Rs. 4552 to Municipal Services in Achhnera.",4552,"Municipal Services",68,"Birth Certificate"
"November 01, 2015","Achhnera                       , Uttar Pradesh","Achhnera","Uttar Pradesh","I Paid Rs. 100 to Customs, Excise and Service Tax in Achhnera.",100,"Customs, Excise and Service Tax",78,"Customs Check and Clearance"
"November 01, 2015","Tirupati                       , Andhra Pradesh","Tirupati","Andhra Pradesh","I paid Rs 300 to police conistable at his home in Tirupati",300,"Passport",97,"Police Clearance Certificate"
"November 01, 2015","Kolkata                       , West Bengal","Kolkata","West Bengal","I Paid Rs. 100 to Municipal Services in Kolkata.",100,"Municipal Services",73,"Birth Certificate"
"October 31, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 1000 to Police in Bangalore.",1000,"Police",126,"Filing FIR"
"October 31, 2015","Jhalawar                       , Rajasthan","Jhalawar","Rajasthan","I Paid Rs. 1122 to Municipal Services in Jhalawar.",1122,"Municipal Services",98,"Birth Certificate"
"October 31, 2015","Goalpara                       , Assam","Goalpara","Assam","I Paid Rs. 600 to Municipal Services in Goalpara.",600,"Municipal Services",117,"Birth Certificate"
"October 31, 2015","Chittoor                       , Andhra Pradesh","Chittoor","Andhra Pradesh","I Paid Rs. 400 to Others in Chittoor.",400,"Others",132,"Others"
"October 31, 2015","Mumbai                       , Maharashtra","Mumbai","Maharashtra","Bribe for passport verification",200,"Police",127,"Police Clearance Certificate"
"October 31, 2015","Gurgaon                       , Haryana","Gurgaon","Haryana","I Paid Rs. 1000 to Commercial Tax, Sales Tax, VAT in Gurgaon.",1000,"Commercial Tax, Sales Tax, VAT",109,"C Form"
"October 31, 2015","Abohar                       , Punjab","Abohar","Punjab","I Paid Rs. 100 to Commercial Tax, Sales Tax, VAT in Abohar.",100,"Commercial Tax, Sales Tax, VAT",98,"C Form"
"October 31, 2015","Abhayapuri                       , Assam","Abhayapuri","Assam","I Paid Rs. 500 to Customs, Excise and Service Tax in Abhayapuri.",500,"Customs, Excise and Service Tax",101,"Customs Check and Clearance"
"October 31, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 200 to Income Tax in Bangalore.",200,"Income Tax",93,"New PAN Card"
"October 31, 2015","Lucknow                       , Uttar Pradesh","Lucknow","Uttar Pradesh","I Paid Rs. 100000 to Municipal Services in Lucknow.",1e+05,"Municipal Services",74,"Birth Certificate"
"October 31, 2015","Anantapur                       , Andhra Pradesh","Anantapur","Andhra Pradesh","I Paid Rs. 500 to Passport in Anantapur.",500,"Passport",93,"Police Verification for Passport"
"October 31, 2015","Mumbai                       , Maharashtra","Mumbai","Maharashtra","I Paid Rs. 50000 to Municipal Services in Mumbai.",50000,"Municipal Services",98,"Birth Certificate"
"October 31, 2015","Ahmedabad                       , Gujarat","Ahmedabad","Gujarat","I Paid Rs. 13 to Municipal Services in Ahmedabad.",13,"Municipal Services",83,"Birth Certificate"
