"Date","Location","City","Region","Title","Amount","Department","Views","Trans_details"
"October 17, 2015","Abhayapuri                       , Assam","Abhayapuri","Assam","I Paid Rs. 1000 to Municipal Services in Abhayapuri.",1000,"Municipal Services",194,"Birth Certificate"
"October 16, 2015","Chennai                       , Tamil Nadu","Chennai","Tamil Nadu","Property Tax Collector takes bribe but issues remain pending.",7000,"Municipal Services",191,"Property Tax"
"October 16, 2015","Mumbai                       , Maharashtra","Mumbai","Maharashtra","I Paid Rs. 2000000 to Income Tax in Mumbai.",2e+06,"Income Tax",191,"New PAN Card"
"October 16, 2015","Kakinada                       , Andhra Pradesh","Kakinada","Andhra Pradesh","I Paid Rs. 200 to Police in Kakinada.",200,"Police",234,"Police Clearance Certificate"
"October 16, 2015","Madurai                       , Tamil Nadu","Madurai","Tamil Nadu","Corrupt loafers of DEO office madurai",1000,"Education",212,"School or College Related Activities"
"October 16, 2015","Adilabad                       , Telangana","Adilabad","Telangana","I Paid Rs. 1000 to Municipal Services in Adilabad.",1000,"Municipal Services",213,"Birth Certificate"
"October 16, 2015","Kolkata                       , West Bengal","Kolkata","West Bengal","I Paid Rs. 5 to Municipal Services in Kolkata.",5,"Municipal Services",175,"Birth Certificate"
"October 15, 2015","Howrah                       , West Bengal","Howrah","West Bengal","Was asked to Pay a Bribe of 500 for Police Verifiaction",500,"Police",270,"Police Verification for Passport"
"October 15, 2015","Kolkata                       , West Bengal","Kolkata","West Bengal","I paid bribe to get approval of plan to build house",1e+05,"Municipal Services",245,"Registration of Land"
"October 15, 2015","Kota                       , Rajasthan","Kota","Rajasthan","I Paid Rs. 100 to Municipal Services in Kota.",100,"Municipal Services",234,"Birth Certificate"
"October 15, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","New connection request - paid INR 5300 receipt only for ~ INR 4800",500,"Food, Civil Supplies and Consumer Affairs",300,"New Gas Connection"
"October 15, 2015","Mumbai                       , Maharashtra","Mumbai","Maharashtra","I Paid Rs. 5 to Commercial Tax, Sales Tax, VAT in Mumbai.",5,"Commercial Tax, Sales Tax, VAT",231,"C Form"
"October 15, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I have Piad bride in RTO Office",2000,"Transport",380,"General RTO related"
"October 14, 2015","Abhayapuri                       , Assam","Abhayapuri","Assam","I Paid Rs. 300 to Municipal Services in Abhayapuri.",300,"Municipal Services",230,"Birth Certificate"
"October 14, 2015","Pune                       , Maharashtra","Pune","Maharashtra","Paid bribe for Police clearance",2500,"Passport",429,"Police Verification for Passport"
"October 14, 2015","Kurnool                       , Andhra Pradesh","Kurnool","Andhra Pradesh","I Paid Rs. 20 to Police in Kurnool.",20,"Police",269,"Traffic Violations"
"October 14, 2015","Siliguri                       , West Bengal","Siliguri","West Bengal","I Paid Rs. 20 to Municipal Services in Siliguri.",20,"Municipal Services",237,"Birth Certificate"
"October 14, 2015","Pithoragarh                       , Uttarakhand","Pithoragarh","Uttarakhand","I Paid Rs. 10 to Customs, Excise and Service Tax in Pithoragarh.",10,"Customs, Excise and Service Tax",255,"Customs Check and Clearance"
"October 14, 2015","Tumkur                       , Karnataka","Tumkur","Karnataka","I Paid Rs. 20000 to Stamps and Registration in Tumkur.",20000,"Stamps and Registration",344,"Marriage Certificate"
"October 14, 2015","Hubli                       , Karnataka","Hubli","Karnataka","I Paid Rs. 10 to Municipal Services in Hubli.",10,"Municipal Services",199,"Birth Certificate"
"October 14, 2015","Jalandhar                       , Punjab","Jalandhar","Punjab","I Paid Rs. 2000 to Transport in Jalandhar.",2000,"Transport",281,"New Domestic Driving License"
"October 14, 2015","Abohar                       , Punjab","Abohar","Punjab","I Paid Rs. 6000 to Municipal Services in Abohar.",6000,"Municipal Services",217,"Birth Certificate"
"October 14, 2015","Kota                       , Rajasthan","Kota","Rajasthan","I Paid Rs. 11 to Municipal Services in Kota.",11,"Municipal Services",186,"Birth Certificate"
"October 14, 2015","Banda                       , Uttar Pradesh","Banda","Uttar Pradesh","I Paid Rs. 200 to Food, Civil Supplies and Consumer Affairs in Banda.",200,"Food, Civil Supplies and Consumer Affairs",217,"Issue of Ration Card"
"October 14, 2015","Bharatpur                       , Rajasthan","Bharatpur","Rajasthan","I Paid Rs. 123 to Others in Bharatpur.",123,"Others",177,"Others"
"October 14, 2015","Salem                       , Tamil Nadu","Salem","Tamil Nadu","I Paid Rs. 10 to Food, Civil Supplies and Consumer Affairs in Salem.",10,"Food, Civil Supplies and Consumer Affairs",159,"Issue of Ration Card"
"October 14, 2015","Nagaon                       , Assam","Nagaon","Assam","I Paid Rs. 500 to Municipal Services in Nagaon.",500,"Municipal Services",133,"Birth Certificate"
"October 14, 2015","Nainital                       , Uttarakhand","Nainital","Uttarakhand","I Paid Rs. 200 to Police in Nainital.",200,"Police",161,"Traffic Violations"
"October 14, 2015","Adilabad                       , Telangana","Adilabad","Telangana","I Paid Rs. 5000 to Transport in Adilabad.",5000,"Transport",170,"Duplicate Registration Certificate"
"October 14, 2015","Abhayapuri                       , Assam","Abhayapuri","Assam","I Paid Rs. 10 to Municipal Services in Abhayapuri.",10,"Municipal Services",117,"Birth Certificate"
"October 14, 2015","Baran                       , Rajasthan","Baran","Rajasthan","I Paid Rs. 250000 to Municipal Services in Baran.",250000,"Municipal Services",64,"Birth Certificate"
"October 14, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 30000 to Municipal Services in Bangalore.",30000,"Municipal Services",141,"Birth Certificate"
"October 14, 2015","Bijnaur                       , Uttar Pradesh","Bijnaur","Uttar Pradesh","I Paid Rs. 3000 to Others in Bijnaur.",3000,"Others",122,"Others"
"October 14, 2015","Bilaspur                       , Chhattisgarh","Bilaspur","Chhattisgarh","I Paid Rs. 100 to Others in Bilaspur.",100,"Others",127,"Others"
"October 14, 2015","Ghaziabad                       , Uttar Pradesh","Ghaziabad","Uttar Pradesh","I Paid Rs. 10 to Commercial Tax, Sales Tax, VAT in Ghaziabad.",10,"Commercial Tax, Sales Tax, VAT",130,"C Form"
"October 14, 2015","Bagaha                       , Bihar","Bagaha","Bihar","I Paid Rs. 70000 to Municipal Services in Bagaha.",70000,"Municipal Services",83,"Birth Certificate"
"October 14, 2015","Abohar                       , Punjab","Abohar","Punjab","I Paid Rs. 500 to Municipal Services in Abohar.",500,"Municipal Services",132,"Birth Certificate"
"October 14, 2015","Varanasi                       , Uttar Pradesh","Varanasi","Uttar Pradesh","I Paid Rs. 10 to Municipal Services in Varanasi.",10,"Municipal Services",113,"Birth Certificate"
"October 13, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","Police verification for Passport",500,"Public Works Department",210,"Public Works"
"October 13, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 5000 to Police in Bangalore.",5000,"Police",236,"Traffic Violations"
"October 13, 2015","Chennai                       , Tamil Nadu","Chennai","Tamil Nadu","I Paid Rs. 20 to Municipal Services in Chennai.",20,"Municipal Services",210,"Birth Certificate"
"October 13, 2015","Abhayapuri                       , Assam","Abhayapuri","Assam","I Paid Rs. 9999 to Customs, Excise and Service Tax in Abhayapuri.",9999,"Customs, Excise and Service Tax",222,"Customs Check and Clearance"
"October 13, 2015","Hyderabad                       , Telangana","Hyderabad","Telangana","I Paid Rs. 10 to Municipal Services in Hyderabad.",10,"Municipal Services",201,"Birth Certificate"
"October 13, 2015","Achhnera                       , Uttar Pradesh","Achhnera","Uttar Pradesh","I Paid Rs. 555 to Municipal Services in Achhnera.",555,"Municipal Services",220,"Birth Certificate"
"October 13, 2015","Abhayapuri                       , Assam","Abhayapuri","Assam","I Paid Rs. 20000 to Municipal Services in Abhayapuri.",20000,"Municipal Services",184,"Birth Certificate"
"October 13, 2015","Adilabad                       , Telangana","Adilabad","Telangana","I Paid Rs. 12 to Municipal Services in Adilabad.",12,"Municipal Services",185,"Birth Certificate"
"October 13, 2015","Adilabad                       , Telangana","Adilabad","Telangana","I Paid Rs. 12 to Municipal Services in Adilabad.",12,"Municipal Services",186,"Birth Certificate"
"October 13, 2015","New Delhi                       , Delhi","New Delhi","Delhi","I Paid Rs. 10 to Commercial Tax, Sales Tax, VAT in New Delhi.",10,"Commercial Tax, Sales Tax, VAT",215,"C Form"
"October 13, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 22222 to Stamps and Registration in Bangalore.",22222,"Stamps and Registration",280,"Registration of Property"
"October 13, 2015","Chandigarh                       , Chandigarh","Chandigarh","Chandigarh","I Paid Rs. 10 to Income Tax in Chandigarh.",10,"Income Tax",183,"New PAN Card"
"October 13, 2015","Alipurduar                       , West Bengal","Alipurduar","West Bengal","I Paid Rs. 565 to Stamps and Registration in Alipurduar.",565,"Stamps and Registration",213,"Registration of Property"
"October 13, 2015","Abohar                       , Punjab","Abohar","Punjab","I Paid Rs. 30 to Municipal Services in Abohar.",30,"Municipal Services",141,"Birth Certificate"
"October 13, 2015","Guntur                       , Andhra Pradesh","Guntur","Andhra Pradesh","I Paid Rs. 10000 to Others in Guntur.",10000,"Others",161,"Others"
"October 13, 2015","Srivilliputhur                       , Tamil Nadu","Srivilliputhur","Tamil Nadu","I Paid Rs. 10000 to Municipal Services in Srivilliputhur.",10000,"Municipal Services",138,"Birth Certificate"
"October 13, 2015","Chennai                       , Tamil Nadu","Chennai","Tamil Nadu","I Paid Rs. 100 to Municipal Services in Chennai.",100,"Municipal Services",113,"Birth Certificate"
"October 13, 2015","New Delhi                       , Delhi","New Delhi","Delhi","I Paid Rs. 1000 to Others in New Delhi.",1000,"Others",181,"Others"
"October 13, 2015","Lucknow                       , Uttar Pradesh","Lucknow","Uttar Pradesh","I Paid Rs. 1000 to Others in Lucknow.",1000,"Others",162,"Others"
"October 13, 2015","Abhayapuri                       , Assam","Abhayapuri","Assam","I Paid Rs. 20 to Police in Abhayapuri.",20,"Police",155,"Traffic Violations"
"October 13, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 3000 to Police in Bangalore.",3000,"Police",218,"Filing FIR"
"October 13, 2015","Raipur                       , Chhattisgarh","Raipur","Chhattisgarh","I Paid Rs. 50 to Others in Raipur.",50,"Others",167,"Others"
"October 13, 2015","Abhayapuri                       , Assam","Abhayapuri","Assam","I Paid Rs. 100 to Municipal Services in Abhayapuri.",100,"Municipal Services",162,"Birth Certificate"
"October 13, 2015","New Delhi                       , Delhi","New Delhi","Delhi","I Paid Rs. 100 to Municipal Services in New Delhi.",100,"Municipal Services",75,"Birth Certificate"
"October 13, 2015","Coimbatore                       , Tamil Nadu","Coimbatore","Tamil Nadu","I Paid Rs. 1000 to Others in Coimbatore.",1000,"Others",103,"Others"
"October 13, 2015","Hathras                       , Uttar Pradesh","Hathras","Uttar Pradesh","I Paid Rs. 12 to Commercial Tax, Sales Tax, VAT in Hathras.",12,"Commercial Tax, Sales Tax, VAT",114,"C Form"
"October 13, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 800 to Customs, Excise and Service Tax in Bangalore.",800,"Customs, Excise and Service Tax",201,"Customs Check and Clearance"
"October 13, 2015","Calicut                       , Kerala","Calicut","Kerala","I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Calicut.",500,"Food, Civil Supplies and Consumer Affairs",126,"Issue of Ration Card"
"October 13, 2015","Banka                       , Bihar","Banka","Bihar","I Paid Rs. 210 to Income Tax in Banka.",210,"Income Tax",134,"New PAN Card"
"October 13, 2015","New Delhi                       , Delhi","New Delhi","Delhi","I Paid Rs. 400 to Police in New Delhi.",400,"Police",133,"Police Verification for Passport"
"October 13, 2015","Kolhapur                       , Maharashtra","Kolhapur","Maharashtra","I Paid Rs. 100 to Others in Kolhapur.",100,"Others",89,"Others"
"October 13, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 1000 to Food, Civil Supplies and Consumer Affairs in Bangalore.",1000,"Food, Civil Supplies and Consumer Affairs",135,"Issue of Ration Card"
"October 13, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.",500,"Customs, Excise and Service Tax",149,"Customs Check and Clearance"
"October 13, 2015","New Delhi                       , Delhi","New Delhi","Delhi","I Paid Rs. 400 to Stamps and Registration in New Delhi.",400,"Stamps and Registration",154,"Marriage Certificate"
"October 13, 2015","Hyderabad                       , Telangana","Hyderabad","Telangana","I Paid Rs. 2000 to Municipal Services in Hyderabad.",2000,"Municipal Services",93,"Birth Certificate"
"October 13, 2015","New Delhi                       , Delhi","New Delhi","Delhi","I Paid Rs. 200 to Police in New Delhi.",200,"Police",138,"Traffic Violations"
"October 13, 2015","New Delhi                       , Delhi","New Delhi","Delhi","I Paid Rs. 500 to Police in New Delhi.",500,"Police",126,"Police Verification for Passport"
"October 13, 2015","New Delhi                       , Delhi","New Delhi","Delhi","I Paid Rs. 500 to Police in New Delhi.",500,"Police",83,"Police Verification for Passport"
"October 13, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport",176,"Duplicate Registration Certificate"
"October 13, 2015","New Delhi                       , Delhi","New Delhi","Delhi","I Paid Rs. 1500 to Customs, Excise and Service Tax in New Delhi.",1500,"Customs, Excise and Service Tax",142,"Customs Check and Clearance"
"October 13, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 500 to Police in Bangalore.",500,"Police",101,"Filing FIR"
"October 13, 2015","Aizawl                       , Mizoram","Aizawl","Mizoram","I Paid Rs. 1000 to Commercial Tax, Sales Tax, VAT in Aizawl.",1000,"Commercial Tax, Sales Tax, VAT",117,"C Form"
"October 13, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 15000 to Customs, Excise and Service Tax in Bangalore.",15000,"Customs, Excise and Service Tax",145,"Customs Check and Clearance"
"October 13, 2015","Adoni                       , Andhra Pradesh","Adoni","Andhra Pradesh","I Paid Rs. 77 to Police in Adoni.",77,"Police",84,"Traffic Violations"
"October 13, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 100000 to Stamps and Registration in Bangalore.",1e+05,"Stamps and Registration",169,"Registration of Property"
"October 13, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 500 to Municipal Services in Bangalore.",500,"Municipal Services",70,"Birth Certificate"
"October 13, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 600 to Transport in Bangalore.",600,"Transport",157,"Duplicate Registration Certificate"
"October 13, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 800 to Transport in Bangalore.",800,"Transport",146,"Duplicate Registration Certificate"
"October 13, 2015","Jaipur                       , Rajasthan","Jaipur","Rajasthan","I Paid Rs. 500 to Municipal Services in Jaipur.",500,"Municipal Services",151,"Birth Certificate"
"October 12, 2015","Pune                       , Maharashtra","Pune","Maharashtra","I Paid Rs. 700 to Police in Pune.",700,"Police",159,"Traffic Violations"
"October 12, 2015","Guwahati                       , Assam","Guwahati","Assam","I Paid Rs. 500 to Stamps and Registration in Guwahati.",500,"Stamps and Registration",186,"Marriage Certificate"
"October 12, 2015","New Delhi                       , Delhi","New Delhi","Delhi","I Paid Rs. 500 to Police in New Delhi.",500,"Police",144,"Police Verification for Passport"
"October 12, 2015","New Delhi                       , Delhi","New Delhi","Delhi","I Paid Rs. 600 to Transport in New Delhi.",600,"Transport",171,"New Domestic Driving License"
"October 12, 2015","New Delhi                       , Delhi","New Delhi","Delhi","I Paid Rs. 1500 to Customs, Excise and Service Tax in New Delhi.",1500,"Customs, Excise and Service Tax",160,"Customs Check and Clearance"
"October 12, 2015","New Delhi                       , Delhi","New Delhi","Delhi","I Paid Rs. 500 to Transport in New Delhi.",500,"Transport",189,"New Domestic Driving License"
"October 12, 2015","New Delhi                       , Delhi","New Delhi","Delhi","I Paid Rs. 1000 to Customs, Excise and Service Tax in New Delhi.",1000,"Customs, Excise and Service Tax",141,"Customs Check and Clearance"
"October 12, 2015","New Delhi                       , Delhi","New Delhi","Delhi","I Paid Rs. 500 to Police in New Delhi.",500,"Police",167,"Police Verification for Passport"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 2400 to Food, Civil Supplies and Consumer Affairs in Indore.",2400,"Food, Civil Supplies and Consumer Affairs",157,"Issue of Ration Card"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 2610 to Food, Civil Supplies and Consumer Affairs in Indore.",2610,"Food, Civil Supplies and Consumer Affairs",155,"Issue of Ration Card"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 3610 to Food, Civil Supplies and Consumer Affairs in Indore.",3610,"Food, Civil Supplies and Consumer Affairs",139,"Issue of Ration Card"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 800 to Food, Civil Supplies and Consumer Affairs in Indore.",800,"Food, Civil Supplies and Consumer Affairs",115,"Issue of Ration Card"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 1200 to Food, Civil Supplies and Consumer Affairs in Indore.",1200,"Food, Civil Supplies and Consumer Affairs",130,"Issue of Ration Card"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 3200 to Food, Civil Supplies and Consumer Affairs in Indore.",3200,"Food, Civil Supplies and Consumer Affairs",110,"Issue of Ration Card"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 4000 to Food, Civil Supplies and Consumer Affairs in Indore.",4000,"Food, Civil Supplies and Consumer Affairs",115,"Issue of Ration Card"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 15000 to Food, Civil Supplies and Consumer Affairs in Indore.",15000,"Food, Civil Supplies and Consumer Affairs",129,"Issue of Ration Card"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 3000 to Food, Civil Supplies and Consumer Affairs in Indore.",3000,"Food, Civil Supplies and Consumer Affairs",123,"Issue of Ration Card"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 2500 to Food, Civil Supplies and Consumer Affairs in Indore.",2500,"Food, Civil Supplies and Consumer Affairs",110,"Issue of Ration Card"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 2000 to Food, Civil Supplies and Consumer Affairs in Indore.",2000,"Food, Civil Supplies and Consumer Affairs",92,"Issue of Ration Card"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 2500 to Food, Civil Supplies and Consumer Affairs in Indore.",2500,"Food, Civil Supplies and Consumer Affairs",67,"Issue of Ration Card"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 1400 to Food, Civil Supplies and Consumer Affairs in Indore.",1400,"Food, Civil Supplies and Consumer Affairs",64,"Issue of Ration Card"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 800 to Food, Civil Supplies and Consumer Affairs in Indore.",800,"Food, Civil Supplies and Consumer Affairs",59,"Issue of Ration Card"
"October 12, 2015","Agra                       , Uttar Pradesh","Agra","Uttar Pradesh","I Paid Rs. 2000 to Municipal Services in Agra.",2000,"Municipal Services",102,"Birth Certificate"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 900 to Food, Civil Supplies and Consumer Affairs in Indore.",900,"Food, Civil Supplies and Consumer Affairs",64,"Issue of Ration Card"
"October 12, 2015","Agra                       , Uttar Pradesh","Agra","Uttar Pradesh","I Paid Rs. 1000 to Municipal Services in Agra.",1000,"Municipal Services",107,"Birth Certificate"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Indore.",500,"Food, Civil Supplies and Consumer Affairs",50,"Issue of Ration Card"
"October 12, 2015","Agra                       , Uttar Pradesh","Agra","Uttar Pradesh","I Paid Rs. 1800 to Municipal Services in Agra.",1800,"Municipal Services",85,"Birth Certificate"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 610 to Food, Civil Supplies and Consumer Affairs in Indore.",610,"Food, Civil Supplies and Consumer Affairs",43,"Issue of Ration Card"
"October 12, 2015","Agra                       , Uttar Pradesh","Agra","Uttar Pradesh","I Paid Rs. 2400 to Municipal Services in Agra.",2400,"Municipal Services",68,"Birth Certificate"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 1500 to Food, Civil Supplies and Consumer Affairs in Indore.",1500,"Food, Civil Supplies and Consumer Affairs",41,"Issue of Ration Card"
"October 12, 2015","Agra                       , Uttar Pradesh","Agra","Uttar Pradesh","I Paid Rs. 2610 to Municipal Services in Agra.",2610,"Municipal Services",63,"Birth Certificate"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 1200 to Food, Civil Supplies and Consumer Affairs in Indore.",1200,"Food, Civil Supplies and Consumer Affairs",36,"Issue of Ration Card"
"October 12, 2015","Agra                       , Uttar Pradesh","Agra","Uttar Pradesh","I Paid Rs. 3610 to Municipal Services in Agra.",3610,"Municipal Services",50,"Birth Certificate"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 4000 to Food, Civil Supplies and Consumer Affairs in Indore.",4000,"Food, Civil Supplies and Consumer Affairs",33,"Issue of Ration Card"
"October 12, 2015","Agra                       , Uttar Pradesh","Agra","Uttar Pradesh","I Paid Rs. 800 to Municipal Services in Agra.",800,"Municipal Services",51,"Birth Certificate"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 3000 to Food, Civil Supplies and Consumer Affairs in Indore.",3000,"Food, Civil Supplies and Consumer Affairs",36,"Issue of Ration Card"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 2000 to Food, Civil Supplies and Consumer Affairs in Indore.",2000,"Food, Civil Supplies and Consumer Affairs",35,"Issue of Ration Card"
"October 12, 2015","Agra                       , Uttar Pradesh","Agra","Uttar Pradesh","I Paid Rs. 1200 to Municipal Services in Agra.",1200,"Municipal Services",47,"Birth Certificate"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 1000 to Food, Civil Supplies and Consumer Affairs in Indore.",1000,"Food, Civil Supplies and Consumer Affairs",30,"Issue of Ration Card"
"October 12, 2015","Agra                       , Uttar Pradesh","Agra","Uttar Pradesh","I Paid Rs. 3200 to Municipal Services in Agra.",3200,"Municipal Services",48,"Birth Certificate"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 1800 to Food, Civil Supplies and Consumer Affairs in Indore.",1800,"Food, Civil Supplies and Consumer Affairs",33,"Issue of Ration Card"
"October 12, 2015","Agra                       , Uttar Pradesh","Agra","Uttar Pradesh","I Paid Rs. 4000 to Municipal Services in Agra.",4000,"Municipal Services",37,"Birth Certificate"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 2400 to Food, Civil Supplies and Consumer Affairs in Indore.",2400,"Food, Civil Supplies and Consumer Affairs",31,"Issue of Ration Card"
"October 12, 2015","Agra                       , Uttar Pradesh","Agra","Uttar Pradesh","I Paid Rs. 15000 to Municipal Services in Agra.",15000,"Municipal Services",29,"Birth Certificate"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 2610 to Food, Civil Supplies and Consumer Affairs in Indore.",2610,"Food, Civil Supplies and Consumer Affairs",29,"Issue of Ration Card"
"October 12, 2015","Agra                       , Uttar Pradesh","Agra","Uttar Pradesh","I Paid Rs. 3000 to Municipal Services in Agra.",3000,"Municipal Services",30,"Birth Certificate"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 3610 to Food, Civil Supplies and Consumer Affairs in Indore.",3610,"Food, Civil Supplies and Consumer Affairs",28,"Issue of Ration Card"
"October 12, 2015","Agra                       , Uttar Pradesh","Agra","Uttar Pradesh","I Paid Rs. 2500 to Municipal Services in Agra.",2500,"Municipal Services",29,"Birth Certificate"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 800 to Food, Civil Supplies and Consumer Affairs in Indore.",800,"Food, Civil Supplies and Consumer Affairs",28,"Issue of Ration Card"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 1200 to Food, Civil Supplies and Consumer Affairs in Indore.",1200,"Food, Civil Supplies and Consumer Affairs",30,"Issue of Ration Card"
"October 12, 2015","Agra                       , Uttar Pradesh","Agra","Uttar Pradesh","I Paid Rs. 2500 to Municipal Services in Agra.",2500,"Municipal Services",34,"Birth Certificate"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 3200 to Food, Civil Supplies and Consumer Affairs in Indore.",3200,"Food, Civil Supplies and Consumer Affairs",31,"Issue of Ration Card"
"October 12, 2015","Agra                       , Uttar Pradesh","Agra","Uttar Pradesh","I Paid Rs. 1400 to Municipal Services in Agra.",1400,"Municipal Services",34,"Birth Certificate"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 4000 to Food, Civil Supplies and Consumer Affairs in Indore.",4000,"Food, Civil Supplies and Consumer Affairs",31,"Issue of Ration Card"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 1500 to Food, Civil Supplies and Consumer Affairs in Indore.",1500,"Food, Civil Supplies and Consumer Affairs",30,"Issue of Ration Card"
"October 12, 2015","Agra                       , Uttar Pradesh","Agra","Uttar Pradesh","I Paid Rs. 800 to Municipal Services in Agra.",800,"Municipal Services",32,"Birth Certificate"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 3000 to Food, Civil Supplies and Consumer Affairs in Indore.",3000,"Food, Civil Supplies and Consumer Affairs",32,"Issue of Ration Card"
"October 12, 2015","Agra                       , Uttar Pradesh","Agra","Uttar Pradesh","I Paid Rs. 900 to Municipal Services in Agra.",900,"Municipal Services",31,"Birth Certificate"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 2500 to Food, Civil Supplies and Consumer Affairs in Indore.",2500,"Food, Civil Supplies and Consumer Affairs",32,"Issue of Ration Card"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 2000 to Food, Civil Supplies and Consumer Affairs in Indore.",2000,"Food, Civil Supplies and Consumer Affairs",33,"Issue of Ration Card"
"October 12, 2015","Agra                       , Uttar Pradesh","Agra","Uttar Pradesh","I Paid Rs. 610 to Municipal Services in Agra.",610,"Municipal Services",35,"Birth Certificate"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 3200 to Food, Civil Supplies and Consumer Affairs in Indore.",3200,"Food, Civil Supplies and Consumer Affairs",32,"Issue of Ration Card"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 2500 to Food, Civil Supplies and Consumer Affairs in Indore.",2500,"Food, Civil Supplies and Consumer Affairs",32,"Issue of Ration Card"
